SA2 name,Year,Population,Area_km2,Density
Bundoora - East,2018,10359.0,15.0,690.6
Bundoora - East,2019,10372.0,15.0,691.4666666666667
Bundoora - East,2020,10295.0,15.0,686.3333333333334
Bundoora - East,2021,9920.0,15.0,661.3333333333334
Bundoora - East,2022,9814.0,15.0,654.2666666666667
Bundoora - East,2023,9993.0,15.0,666.2
Bundoora - East,2024,10196.0,15.0,679.7333333333333
Bundoora - East,2025,10339.0,15.0,689.2666666666667
