SA2 name,Year,Population,Area_km2,Density
Coburg - East,2018,13379.0,7.0,1911.2857142857142
Coburg - East,2019,13397.0,7.0,1913.857142857143
Coburg - East,2020,13265.0,7.0,1895.0
Coburg - East,2021,12675.0,7.0,1810.7142857142858
Coburg - East,2022,12901.0,7.0,1843.0
Coburg - East,2023,13482.0,7.0,1926.0
Coburg - East,2024,13887.0,7.0,1983.857142857143
Coburg - East,2025,14457.0,7.0,2065.285714285714
