SA2 name,Year,Population,Area_km2,Density
Brunswick East,2018,12392.0,5.2,2383.076923076923
Brunswick East,2019,12602.0,5.2,2423.4615384615386
Brunswick East,2020,13064.0,5.2,2512.3076923076924
Brunswick East,2021,12964.0,5.2,2493.076923076923
Brunswick East,2022,13238.0,5.2,2545.7692307692305
Brunswick East,2023,13691.0,5.2,2632.8846153846152
Brunswick East,2024,14328.0,5.2,2755.3846153846152
Brunswick East,2025,14693.0,5.2,2825.576923076923
